epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1729.02,0.69347,0.75294,1.09998,0.99766,0.94545,0.95156,0.87664,0.46944,0.62214,0.91744,0.0005645,0.0005645,0.0005645
60,1748.29,0.63806,0.61232,1.0483,0.99838,0.94545,0.96283,0.87016,0.4545,0.61091,0.90899,0.00053975,0.00053975,0.00053975
61,1767.27,0.61264,0.65689,1.07275,0.99876,0.94545,0.96281,0.87372,0.45778,0.59318,0.90166,0.000515,0.000515,0.000515
62,1786.08,0.65554,0.67765,1.00958,0.99876,0.94545,0.96281,0.87372,0.45778,0.59318,0.90166,0.00049025,0.00049025,0.00049025
63,1804.77,0.6552,0.6938,1.04261,0.99881,0.94545,0.95586,0.86453,0.48463,0.60183,0.91206,0.0004655,0.0004655,0.0004655
64,1823.27,0.5729,0.57987,0.99847,0.99877,0.94545,0.96489,0.86091,0.49086,0.60175,0.9102,0.00044075,0.00044075,0.00044075
65,1842.39,0.63406,0.63483,1.03886,0.99872,0.94545,0.94629,0.85842,0.48392,0.59191,0.90825,0.000416,0.000416,0.000416
66,1861.67,0.57222,0.6356,1.01034,0.99867,0.94545,0.94543,0.87006,0.47104,0.58476,0.90983,0.00039125,0.00039125,0.00039125
67,1881,0.62276,0.66509,1.02819,0.99861,0.94545,0.94547,0.8645,0.4697,0.58814,0.90776,0.0003665,0.0003665,0.0003665
68,1901.69,0.56951,0.58944,0.9821,0.99864,0.94545,0.95309,0.86894,0.46845,0.58001,0.906,0.00034175,0.00034175,0.00034175
69,1922.59,0.59672,0.62018,1.03882,0.99864,0.94545,0.95209,0.86698,0.45576,0.56125,0.89985,0.000317,0.000317,0.000317
70,1943.66,0.57984,0.60868,0.97912,0.99864,0.94545,0.95209,0.86698,0.45576,0.56125,0.89985,0.00029225,0.00029225,0.00029225
71,1963.83,0.41152,0.65805,0.88962,0.99868,0.94545,0.9456,0.87428,0.45485,0.56317,0.90528,0.0002675,0.0002675,0.0002675
72,1983.31,0.40012,0.66975,0.87503,0.9987,0.94545,0.94598,0.87177,0.45514,0.5648,0.90721,0.00024275,0.00024275,0.00024275
73,2002.77,0.43257,0.66426,0.91661,0.99878,0.94545,0.9457,0.87179,0.44739,0.56833,0.90133,0.000218,0.000218,0.000218
74,2022.79,0.42382,0.6667,0.90126,0.99882,0.94545,0.96529,0.87631,0.43589,0.57208,0.89439,0.00019325,0.00019325,0.00019325
75,2042.4,0.42635,0.62008,0.8997,0.99882,0.94545,0.95309,0.88887,0.42442,0.57697,0.88691,0.0001685,0.0001685,0.0001685
76,2062.1,0.41675,0.63321,0.91102,0.99883,0.94545,0.94669,0.89135,0.41348,0.57948,0.88107,0.00014375,0.00014375,0.00014375
77,2081.43,0.38881,0.63825,0.90646,0.99883,0.94545,0.96145,0.89765,0.40462,0.58213,0.87697,0.000119,0.000119,0.000119
78,2100.82,0.3941,0.61791,0.89496,0.99883,0.94545,0.96145,0.89765,0.40462,0.58213,0.87697,9.425e-05,9.425e-05,9.425e-05
79,2146.14,0.38991,0.61974,0.86429,0.99882,0.94545,0.96075,0.89835,0.40173,0.58078,0.87608,6.95e-05,6.95e-05,6.95e-05
80,2168.77,0.41395,0.64491,0.91911,0.99883,0.94545,0.95957,0.89631,0.40204,0.57893,0.87753,4.475e-05,4.475e-05,4.475e-05
